stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(256, 256)",2,0.2,0.0003,0.0,0,1.1040349304676056,155,180
A,"(256, 128, 64)",3,0.2,0.003,1e-05,0,1.1041682660579681,36,61
A,"(512, 256)",2,0.2,0.003,0.001,0,1.1042699217796326,48,73
A,"(512, 256)",2,0.2,0.0003,0.001,0,1.1045884490013123,144,169
A,"(256, 256)",2,0.0,0.003,0.0,0,1.104859858751297,48,73
A,"(512, 256)",2,0.2,0.0003,0.0,0,1.1048835217952728,144,169
A,"(512, 256)",2,0.2,0.0003,1e-05,0,1.1048835217952728,144,169
A,"(512, 256)",2,0.2,0.0003,0.0001,0,1.1049741953611374,144,169
A,"(256, 128)",2,0.1,0.0003,0.0001,0,1.1050898432731628,195,200
A,"(256, 128, 64)",3,0.2,0.003,0.0,0,1.105148434638977,36,61
A,"(256, 256)",2,0.0,0.003,0.001,0,1.1052384227514267,54,79
A,"(256, 128, 64)",3,0.2,0.003,0.001,0,1.105343997478485,36,61
A,"(512, 256, 128, 64)",4,0.0,0.003,0.0,0,1.105929747223854,41,66
A,"(512, 256, 128, 64)",4,0.0,0.003,1e-05,0,1.1062482595443726,37,62
A,"(512, 256)",2,0.1,0.003,0.0,0,1.1066301465034485,54,79
A,"(512, 256, 128)",3,0.2,0.001,0.0001,0,1.1066450774669647,46,71
A,"(256, 256)",2,0.2,0.0003,0.0001,0,1.106927290558815,155,180
A,"(512, 256, 128, 64)",4,0.0,0.003,0.0001,0,1.1073918491601944,41,66
A,"(256, 256)",2,0.0,0.003,0.0001,0,1.1074535250663757,54,79
A,"(256, 256)",2,0.2,0.0003,0.001,0,1.107477679848671,155,180
A,"(512, 256, 128)",3,0.2,0.001,0.001,0,1.107812911272049,46,71
A,"(512, 256)",2,0.1,0.003,1e-05,0,1.1082538217306137,54,79
A,"(512, 256, 128, 64)",4,0.0,0.003,0.001,0,1.1087178438901901,37,62
A,"(256, 256)",2,0.0,0.003,1e-05,0,1.1098162084817886,48,73
A,"(512, 256, 128)",3,0.2,0.001,0.0,0,1.1102120578289032,46,71
A,"(512, 256, 128)",3,0.2,0.001,1e-05,0,1.1102120578289032,46,71
A,"(256, 128, 64)",3,0.0,0.001,0.0001,0,1.1112547367811203,55,80
A,"(256, 128, 64)",3,0.0,0.001,0.0,0,1.111327886581421,53,78
A,"(256, 128, 64)",3,0.0,0.001,1e-05,0,1.111327886581421,53,78
A,"(256, 128)",2,0.1,0.0003,1e-05,0,1.1114220172166824,171,196
A,"(256, 128)",2,0.1,0.0003,0.0,0,1.1114220172166824,171,196
A,"(256, 128, 64)",3,0.0,0.001,0.001,0,1.1118755638599396,55,80
A,"(256, 256)",2,0.2,0.003,0.0001,0,1.1141141504049301,27,52
A,"(512, 256, 128, 64)",4,0.1,0.0003,0.0001,0,1.1141769140958786,86,111
A,"(256, 128)",2,0.1,0.0003,0.001,0,1.1149120181798935,171,196
A,"(512, 256, 128, 64)",4,0.1,0.0003,0.001,0,1.1152165979146957,69,94
A,"(512, 512)",2,0.2,0.0003,0.0,0,1.1164160817861557,126,151
A,"(512, 512)",2,0.2,0.0003,1e-05,0,1.1164160817861557,126,151
A,"(512, 512)",2,0.2,0.0003,0.0001,0,1.1168411523103714,126,151
A,"(512, 512)",2,0.2,0.0003,0.001,0,1.1172995865345001,126,151
A,"(128,)",1,0.0,0.003,0.0,0,1.1187025755643845,129,154
A,"(128,)",1,0.0,0.001,0.0001,0,1.1191026866436005,174,199
A,"(128,)",1,0.0,0.003,0.001,0,1.1197411864995956,129,154
A,"(128,)",1,0.0,0.001,1e-05,0,1.1198886185884476,174,199
A,"(128,)",1,0.0,0.001,0.0,0,1.1198886185884476,174,199
A,"(128,)",1,0.0,0.003,0.0001,0,1.1220476031303406,112,137
A,"(256, 256)",2,0.0,0.0003,0.0,0,1.1222269833087921,136,161
A,"(256, 256)",2,0.0,0.0003,1e-05,0,1.1222269833087921,136,161
A,"(128,)",1,0.0,0.001,0.001,0,1.1222389340400696,200,200
A,"(128,)",1,0.0,0.003,1e-05,0,1.122306764125824,112,137
A,"(256, 256)",2,0.0,0.0003,0.001,0,1.1224247366189957,136,161
A,"(256, 256)",2,0.0,0.0003,0.0001,0,1.1226846426725388,136,161
A,"(512, 256, 128, 64)",4,0.2,0.001,0.0001,0,1.1234382688999176,30,55
A,"(256, 256)",2,0.0,0.001,0.0,0,1.12375870347023,52,77
A,"(256, 256)",2,0.0,0.001,1e-05,0,1.12375870347023,52,77
A,"(512, 256, 128)",3,0.1,0.0003,0.0,0,1.123762384057045,79,104
A,"(512, 256, 128)",3,0.1,0.0003,1e-05,0,1.123762384057045,79,104
A,"(512, 256, 128, 64)",4,0.2,0.001,1e-05,0,1.1241465955972672,30,55
A,"(512, 256, 128, 64)",4,0.2,0.001,0.0,0,1.1241465955972672,30,55
A,"(256, 256)",2,0.0,0.001,0.0001,0,1.1243008077144623,52,77
A,"(512, 256, 128)",3,0.1,0.0003,0.0001,0,1.1248713284730911,79,104
A,"(512, 256, 128)",3,0.1,0.0003,0.001,0,1.1254781037569046,79,104
A,"(512, 256, 128, 64)",4,0.2,0.001,0.001,0,1.1262367218732834,30,55
A,"(256, 128, 64)",3,0.1,0.003,0.0001,0,1.1294825226068497,29,54
A,"(256, 128, 64)",3,0.2,0.001,0.0001,0,1.130885288119316,56,81
A,"(256, 128, 64)",3,0.2,0.001,1e-05,0,1.13128262758255,56,81
A,"(256, 128, 64)",3,0.2,0.001,0.0,0,1.13128262758255,56,81
