method,year,sample,mse,mae,rmse,n
full_finetune,2010,26,1.6536312103271484,0.772220253944397,1.2859359277690114,33
full_finetune,2010,27,1.2579582929611206,0.7673956155776978,1.1215873987171578,33
full_finetune,2010,28,0.3575401306152344,0.4806031584739685,0.5979465951196933,33
full_finetune,2010,29,0.41330868005752563,0.47623270750045776,0.6428908772548617,33
full_finetune,2010,30,0.41030505299568176,0.4438738524913788,0.6405505858210433,33
full_finetune,2010,31,0.8813663125038147,0.7127078771591187,0.9388111165212173,33
full_finetune,2010,32,1.1501585245132446,0.7599207758903503,1.0724544393647892,33
full_finetune,2010,33,0.5983241200447083,0.5814447402954102,0.7735141369391436,33
full_finetune,2010,34,0.3347035348415375,0.44842323660850525,0.5785356815629763,33
full_finetune,2010,35,0.4498099386692047,0.5641419291496277,0.6706787149367458,33
full_finetune,2010,36,2.066105842590332,0.9772670865058899,1.4373955066683393,33
full_finetune,2010,37,1.1137434244155884,0.7194985747337341,1.0553404305794356,33
full_finetune,2010,38,1.1329137086868286,0.6875677108764648,1.0643841922383237,33
full_finetune,2010,39,0.610029399394989,0.5857986211776733,0.7810437883979291,33
full_finetune,2010,40,0.8082250952720642,0.686721682548523,0.899013401052545,33
full_finetune,2010,41,0.717603862285614,0.6188942790031433,0.8471150230550831,33
full_finetune,2010,42,0.9661039710044861,0.6592825055122375,0.9829058810509204,33
full_finetune,2010,43,0.48948103189468384,0.5334154963493347,0.6996292102926263,33
full_finetune,2010,44,1.2492380142211914,0.7074065804481506,1.1176931664017595,33
full_finetune,2010,45,0.8442258238792419,0.5731108784675598,0.9188176227517852,33
full_finetune,2010,46,0.7280662059783936,0.6408053040504456,0.8532679567277759,33
full_finetune,2010,47,0.42113950848579407,0.47187134623527527,0.6489526242229043,33
full_finetune,2010,48,1.2045420408248901,0.8043413758277893,1.0975163054938593,33
full_finetune,2010,49,0.4996035695075989,0.5176782608032227,0.7068264069116256,33
full_finetune,2011,0,0.4470768868923187,0.48802369832992554,0.6686380836389135,32
full_finetune,2011,1,0.6462327241897583,0.5750861763954163,0.8038860144260244,32
full_finetune,2011,2,0.9244562387466431,0.7482948303222656,0.9614864735120526,32
full_finetune,2011,3,1.0691276788711548,0.7463005185127258,1.0339863049727278,32
full_finetune,2011,4,0.6348089575767517,0.5520707368850708,0.7967489928307105,32
full_finetune,2011,5,0.2767700254917145,0.4368591606616974,0.52608937025159,32
full_finetune,2011,6,0.9962925314903259,0.7312218546867371,0.9981445443873977,32
full_finetune,2011,7,1.374851942062378,0.8498114347457886,1.1725408061395466,32
full_finetune,2011,8,0.4599047899246216,0.4807056486606598,0.6781628048814101,32
full_finetune,2011,9,1.2468595504760742,0.823962390422821,1.116628653795018,32
full_finetune,2011,10,0.27007636427879333,0.45258885622024536,0.5196887186372178,32
full_finetune,2011,11,0.7049049735069275,0.623595654964447,0.8395861918272165,32
full_finetune,2011,12,0.5290871858596802,0.4943767189979553,0.7273837954337999,32
full_finetune,2011,13,0.7993394732475281,0.5958452224731445,0.8940578690708606,32
full_finetune,2011,14,0.7250342965126038,0.6103810667991638,0.8514894576638068,32
full_finetune,2011,15,0.8164034485816956,0.6231149435043335,0.9035504681984817,32
full_finetune,2011,16,0.7000967860221863,0.6429563760757446,0.8367178652462168,32
full_finetune,2011,17,0.4773499369621277,0.4515942335128784,0.6909051577185741,32
full_finetune,2011,18,0.6483450531959534,0.5692304372787476,0.8051987662657919,32
full_finetune,2011,19,0.6319721937179565,0.5636368989944458,0.7949667878081175,32
full_finetune,2011,20,1.0420231819152832,0.746001124382019,1.0207953673069265,32
full_finetune,2011,21,0.5366228222846985,0.5490245819091797,0.732545440423117,32
full_finetune,2011,22,0.9192409515380859,0.7130316495895386,0.9587705416511741,32
full_finetune,2011,23,0.8949952125549316,0.5962039828300476,0.9460418661745006,32
full_finetune,2011,24,1.6446417570114136,0.9332181215286255,1.282435868576442,32
full_finetune,2011,25,1.0927107334136963,0.6177365183830261,1.0453280506203286,32
full_finetune,2011,26,0.5258647799491882,0.5504605174064636,0.7251653466273662,32
full_finetune,2011,27,0.7234740257263184,0.6440436840057373,0.8505727633344007,32
full_finetune,2011,28,0.7291539907455444,0.5753383636474609,0.8539051415383002,32
full_finetune,2011,29,0.7263681292533875,0.6222460269927979,0.8522723327982596,32
full_finetune,2011,30,0.666874885559082,0.6247367858886719,0.8166240784835346,32
full_finetune,2011,31,0.5904524326324463,0.548338770866394,0.7684090269071846,32
full_finetune,2011,32,0.5647599697113037,0.579429566860199,0.7515051361842471,32
full_finetune,2011,33,0.7616263628005981,0.67270827293396,0.8727120732524548,32
full_finetune,2011,34,0.4624693989753723,0.47262370586395264,0.6800510267438556,32
full_finetune,2011,35,0.935221254825592,0.7189120054244995,0.9670683816698755,32
full_finetune,2011,36,0.5641763806343079,0.6139525175094604,0.7511167556607348,32
full_finetune,2011,37,0.3742384612560272,0.5085139274597168,0.611750325914116,32
full_finetune,2011,38,0.6544206142425537,0.6336264610290527,0.8089626779045828,32
full_finetune,2011,39,0.4252855181694031,0.4388798475265503,0.6521391861937167,32
full_finetune,2011,40,0.2824552059173584,0.40645506978034973,0.5314651502378669,32
full_finetune,2011,41,0.48698925971984863,0.5309815406799316,0.6978461576306404,32
full_finetune,2011,42,0.42166203260421753,0.5075803995132446,0.6493550897653899,32
